Site,Position,AppDate,Response,Interview
LinkedIn,Urban Planner,10/21/2020,Pending,No
LinkedIn,Real Estate Analyst,10/15/2020,Pending,No
Personal,ITC Analyst,10/15/2020,Pending,No
LinkedIn,Real Estate Analyst,10/14/2020,Pending,No
LinkedIn,Real Estate Analyst,10/14/2020,Pending,No
Angel.co,Data Scientist,10/14/2020,Pending,No
Angel.co,Data Engineer,10/14/2020,Pending,No
Angel.co,Data Scientist (NLP),10/14/2020,Rejected,No
CyberCoders,Construction Coordinator,10/10/2020,Rejected,No
CyberCoders,Project Coordinator,10/10/2020,Rejected,No
CyberCoders,GIS Engineer,10/10/2020,Rejected,No
ZipRecruiter,Data Analyst,10/10/2020,Rejected,No
ZipRecruiter,Data Analyst (Oil and Gas),10/10/2020,Rejected,No
Personal,Project Coordinator,10/10/2020,Rejected,No
LinkedIn,GIS Analyst,10/8/2020,Rejected,No
ZipRecruiter,Project Coordinator,10/7/2020,Rejected,No
ZipRecruiter,Data Analyst,10/7/2020,Rejected,No
LinkedIn,GIS Analyst,9/28/2020,Rejected,No
LinkedIn,Project Coordinator,9/28/2020,Rejected,No
ZipRecruiter,Project Analyst 2,9/26/2020,Rejected,No
Personal,Field Worker,9/15/2020,Rejected,No
LinkedIn,Data Visualization,9/10/2020,Rejected,No
HarrisCounty,Planner,8/24/2020,Rejected,No
ZipRecruiter,Field Coordinator,8/19/2020,Rejected,No
ZipRecruiter,Data Visualization,8/19/2020,Rejected,No
Personal,Purchasing Coordinator,8/15/2020,Rejected,No
LinkedIn,Multifamily Project Manager,8/10/2020,Rejected,No
LinkedIn,Data Visualization,8/10/2020,Rejected,Yes
LinkedIn,Assistant Project Manager,8/10/2020,Rejected,No
LinkedIn,Data Analyst (Marketing),8/10/2020,Rejected,Yes
HarrisCounty,Project Coordinator Planning,8/5/2020,Rejected,No
Personal,GIS Engineer,7/15/2020,Rejected,No
LinkedIn,Junior Data Analyst,5/10/2020,Rejected,No
